TIEMPO,ADC,DAC
0.767,1.799,1.519
0.768,1.706,1.945
0.769,1.922,2.116
0.77,1.9,1.49
0.771,1.738,2.016
0.772,1.719,1.174
0.773,1.393,1.419
0.774,1.354,1.222
0.775,1.39,1.729
0.776,1.7,1.996
0.777,1.803,1.567
0.778,1.554,1.28
0.779,1.561,2.08
0.78,1.774,1.474
0.781,1.503,1.261
0.782,1.461,1.787
0.783,1.725,1.9
0.784,1.887,2.041
0.785,1.87,1.545
0.786,1.645,1.58
0.787,1.658,1.819
0.788,1.745,1.719
0.789,1.606,1.248
0.79,1.483,1.796
0.791,1.777,2.087
0.792,1.761,1.164
0.793,1.525,1.912
0.794,1.641,1.312
0.795,1.506,1.696
0.796,1.564,1.406
0.797,1.535,1.738
0.798,1.658,1.67
0.799,1.648,1.593
0.8,1.5,1.183
0.801,1.432,1.806
0.802,1.57,1.316
0.803,1.37,1.248
0.804,1.39,1.683
0.805,1.567,1.567
0.806,1.641,1.861
0.807,1.799,1.858
0.808,1.79,1.667
0.809,1.809,2.08
0.81,1.838,1.448
0.811,1.735,2.132
0.812,1.954,1.89
0.813,1.751,1.277
0.814,1.477,1.551
0.815,1.645,1.996
0.816,1.887,1.961
0.817,1.767,1.283
0.818,1.567,1.87
0.819,1.651,1.361
0.82,1.506,1.606
0.821,1.664,1.961
0.822,1.864,1.906
0.823,1.703,1.193
0.824,1.416,1.509
0.825,1.506,1.612
0.826,1.467,1.174
0.827,1.335,1.483
0.828,1.451,1.535
0.829,1.441,1.264
0.83,1.445,1.783
0.831,1.741,2.006
0.832,1.961,2.116
0.833,1.835,1.206
0.834,1.364,1.148
0.835,1.261,1.38
0.836,1.387,1.561
0.837,1.593,1.874
0.838,1.806,1.932
0.839,1.845,1.735
0.84,1.761,1.716
0.841,1.729,1.732
0.842,1.706,1.645
0.843,1.719,1.874
0.844,1.861,1.996
0.845,1.883,1.709
0.846,1.774,1.774
0.847,1.709,1.529
0.848,1.574,1.512
0.849,1.529,1.535
0.85,1.548,1.609
0.851,1.648,1.838
